timestamp,level,source,message
2026-06-11 08:00:00,INFO,main,Server started on port 8080
2026-06-11 08:01:00,INFO,router,Registered 12 API routes
2026-06-11 08:02:00,WARN,cache,Memory usage at 75% — triggering cleanup
2026-06-11 08:03:00,ERROR,db,Connection timeout to database-primary
2026-06-11 08:04:00,ERROR,db,Failover to database-secondary succeeded
2026-06-11 08:05:00,INFO,health,Health check passed — all services OK
2026-06-11 08:06:00,DEBUG,scheduler,Next job scheduled at 08:15:00
2026-06-11 08:07:00,WARN,disk,Disk usage at 82% on /data partition
2026-06-11 08:08:00,INFO,network,Received request GET /api/v1/users
2026-06-11 08:09:00,FATAL,memory,Out of memory — restarting process
2026-06-11 08:10:00,INFO,main,Process restarted successfully
